sample number,Gender,Age,Faculty,Field,Last degree,Year of entering the university in the last degree,"In the past week, have you filled your free time with any of the following activities?",How much time did you spend exercising last week? (Total duration of activity per week),How much time did you spend exercising last week? (Total duration of activity per week)2,What sports do you do in your spare time?,How much time did you spend studying outside of school last week? (Total duration of activity per week),How much time did you spend studying outside of school last week? (Total duration of activity per week)3,What non-textbook did you read last week? State the title or type,How much time did you spend on art activities last week? (Total duration of activity per week),How much time did you spend on art activities last week? (Total duration of activity per week)4,What artistic activities do you do in your spare time?,"How much time did you spend on audio-visual activities (TV, radio, cinema, etc.) last week? (Total duration of activity per we","How much time did you spend on audio-visual activities (TV, radio, cinema, etc.) last week? (Total duration of activity per we5","In your spare time, which of the following audio-visual activities do you use for your leisure time?","How much time did you spend last week on social and recreational activities (travel, excursions, etc.)? (Total duration of ","How much time did you spend last week on social and recreational activities (travel, excursions, etc.)? (Total duration of 6",What social and recreational activities do you do in your spare time?,How much time did you spend on virtual social activities last week? (Total duration of activity per week),How much time did you spend on virtual social activities last week? (Total duration of activity per week)7,What kind of virtual activity do you do most in your spare time?
11/24/2020 17:30,Miss,20,Science,statistics,Bachelor,97,"activities  Sports, Extracurricular study, Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",2,2:00, yoga,2,2:00,???? ?????? ,0,0:00, ,7,7:00,Television,10,5:00,"Party,Going to the nature",10,10:00," Instagram, Watsapp Telgram"
11/24/2020 17:51,Miss,18,Science,statistics,Bachelor,99,"Artistic activity,Extracurricular study, Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",5,5:00,"walking,dancing",4,4:00,??????? ?? ????. ,6,6:00,"Teaching,Advise, Cooking",6,6:00,Television,0,0:00,,1,1:00,"Telgram, Watsapp"
11/24/2020 18:10,Miss,21,Science,statistics,Bachelor,97, Virtual social activities,3,3:00,walking,0,0:00,,2,2:00, Knitting,10,10:00,Television,5,5:00,Going to the nature,20,20:00,Instagram
11/24/2020 20:01,Miss,21,Engineering,Materials Engineering and Metallurgy,Bachelor,97,"Recreational social activities (travel and excursions, etc.)",2,2:00,,0,0:00,,0,0:00,,6,6:00,,7,7:00,,20,20:00,"Telgram, Instagram"
11/25/2020 10:37,Miss,21,Science,pure chemistry,Bachelor,97,"Audio-visual activities (television, radio, cinema, satellite, etc.) ",13,13:00,walking,10,10:00,,5,5:00,,15,15:00,Music,0,0:00,,20,20:00,Instagram
11/25/2020 10:41,Miss,20,Science,statistics,Bachelor,98, Virtual social activities,4,4:00,walking,0,0:00,,0,0:00,,4,4:00,Television,5,5:00, Going to the nature,23,23:00,"Telgram, Watsapp"
11/25/2020 10:42,Miss,21,"Humanities,literature,foreg in language,law and economics",Industrial Management,Bachelor,97,"Artistic activity,Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",3,3:00,walking,0,0:00,,5,5:00,,10,10:00,,4,4:00,,14,14:00,"Telgram, Instagram"
11/25/2020 10:48,Miss,23,Engineering,Computer Engineering ,Bachelor,96,Extracurricular study,0.5,0:30,Swim,1,1:00,??????? ?? ?? ???? ??? .,0,0:00,,1,1:00,,0,0:00,,3,3:00," Instagram, Watsapp Telgram"
11/25/2020 10:49,Miss,22,Engineering,chemical engineering ,Bachelor,95," Sports activities ,Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",7,7:00,"walking,Ping pong",0,0:00,,0,0:00,,20,20:00,Television,0,0:00,,23,23:00,Gaming
11/25/2020 10:51,Miss,28,Engineering,Materials Engineering and Metallurgy,Bachelor,99,"Audio-visual activities (television, radio, cinema, satellite, etc.) ",19,19:00,martial art,5,5:00,?????? ??????,0,0:00,,22,22:00,Computer,0,0:00,,17,17:00,Gaming
11/25/2020 10:53,Miss,24,Science,pure chemistry,Bachelor,95,Virtual social activities,6,6:00,"walking,warm-up exercises",0,0:00,,0,0:00,,10,10:00,Television,5,5:00,,5,5:00,Instagram
